RefDes,Name,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0805,25.2,23.6,Top,270,10uF
C2,CAP_POL_SMD_6MM,12.29,5.62,Top,270,100uF
C3,CAP_0603,18.08,12.86,Top,90,100nF
C4,CAP_0603,30.48,11.68,Top,90,100nF
C5,CAP_0805,16.51,12.51,Top,90,10uF
C6,CAP_0603,18.46,18.81,Top,90,10nF
C7,CAP_0603,20.29,18.81,Top,90,100nF
C8,CAP_0603,23.32,23.17,Top,90,100nF
C9,CAP_0603,22.27,26.34,Top,0,2.2nF
D4,LED_SMD_0603,30.82,18.01,Top,180,
D5,LED_SMD_0603,30.82,19.71,Top,180,
J1,AVRISP-6,23.02,4.23,Top,0,
JST1,JST_2PIN-THM,4.82,5.57,Top,90,
JST-M,JST_2PIN-THM,8.9,25.49,Top,0,
M1,ATMEGA328P_TQFP,24.2,13.27,Top,0,
M2,MPU-6050,19.53,22.95,Top,0,
Q1,Si2302,5.85,21.27,Top,90,
Q3,Si2301 PFET,3.84,24.93,Top,90,
Q4,Si2302 NFET,9.66,21.27,Top,90,
Q5,Si2301 PFET,13.95,22.97,Top,270,
R1,RES_0603,18,27.19,Top,270,4.7k
R2,RES_0603,19.44,27.19,Top,270,4.7k
R4,RES_0603,8,6.6,Top,90,10k
R5,RES_0603,3.67,21.5,Top,90,120
R6,RES_0603,7.95,18.75,Top,0,120
R7,RES_0603,9.65,17.38,Top,180,10k
R8,RES_0603,2,22.53,Top,270,10k
R9,RES_0603,30.02,15.65,Top,270,1.2K
R10,RES_0603,28.54,18.85,Top,270,1.2K
R11,RES_0603,24.25,20,Top,180,10k
US1,US-100,35.68,15.33,Top,270,
USB1,Micro-USB B,2.1,14.49,Top,270,
VR1,AAT3220,27.77,23.19,Top,270,
X1,CSTCE16V,18.51,8.34,Top,0,16 MHz
